ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,POV,Citation
519,TSK,čož-e: wuž sɨRocaʔ-as bajram razirawor,čož-e:	wuž	sɨRocaʔ-as	bajram	razirawor,brother-ERG	REFL	awake-POT	Bajram	agrees,Bajram agrees that his brother wakes him (i.e. Bajram or some other person).,,,long-distance or discourse bound use of <i>wuž</i>; local binding impossible due to real-world reasons?,reflexive,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
520,GKO,sýnoida em-aut(o)-o:,sýnoida	em-aut(o)-o:,I.am.aware	REFL.1-INT-DAT,I am aware of myself.,,,,reflexive,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.
521,GKO,gno:thi s(e)-auto-n,gno:thi	s(e)-auto-n,know.IMP	REFL.2-INT-ACC,Know yourself!,,,,reflexive,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.
522,GKO,autoì páreisin,autoì	páreisin,INT.PL	they.are.here,They themselves are here.,,,,adnominal,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.
524,GKO,ho hyiòs autós,ho	hyiòs	autós,ART	son	INT.NOM,the son himself,,,,adnominal,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.
525,GKO,élegon hóti oudèn àn hê:tton spheîs agágoien tè:n stratian è: Xenophô:n,élegon	hóti	oudèn	àn	hê:tton	spheîs	agágoien	tè:n	stratian	è:	Xenophô:n,they.said	that	nothing	PART	less	REFL.3PL	lead.OPT	ART	army	than	Xenophon,They said that they could lead the army no less than Xenophon.,,,long-distance bound use of reflexive,reflexive,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.
526,TSZ,Juan u-kuarhe-sti kumánchikua,Juan	u-kuarhe-sti	kumánchikua,Juan	make-INT-PST.3.IND	house,Juan built his house himself.,,,IND: indicative; PST: past tense,adv exclusive,Volker Gast (f.w.)
527,TSZ,Francisco jatsísti ya ímeri ktá,Francisco	jatsísti	ya	ímeri	ktá,Francisco	has	already	own	house,Francisco already has a house of his own.,,,,own,Volker Gast (f.w.)
528,TSZ,Juan erati-kuri-sti ma espejo,Juan	erati-kuri-sti	ma	espejo,Juan	see-REFL-PST.3.IND	in	mirror,Juan saw himself in the mirror.,,,IND: indicative; PST: past tense,reflexive,Volker Gast (f.w.)
1,GLI,bhí an gleann féin uaigneach,bhí	an	gleann	féin	uaigneach,was	ART	glen	INT	lonely,The glen itself was lonely.,,,,adnominal,"Nolan, Brian (2001). Reflexive and Reciprocal Constructions in Modern Irish. MS. Institute of Technology Blanchardstown, Dublin."
3,GLI,osclaím féin mo chuid litreacha i gcónaí,osclaím	féin	mo	chuid	litreacha	i gcónaí,open.1SG	INT	my	portion	letters.GEN.PL	always,I always open my letters myself.,,,<i>mé féin</i> instead of <i>féin</i> is used if it occurs in a position following the object,adv exclusive,questionnaire (source of information: Dónall P.Ó Baoill)
4,GLI,"an dtabharfá deich bpunt ar iasacht dom? --tá brón orm, ach tá [mé féin] gann in airgead","an	dtabharfá	deich	bpunt	ar	iasacht	dom?	--tá	brón	orm,	ach	tá	[mé	féin]	gann	in	airgead","QUEST	would.give	ten	pound	on	loan	to-me	--is	sorry	on-me,	but	is	[I	INT]	short	in	money","Could you lend me ten pounds? --I'm sorry, but I'm a little short myself.",,,,adv inclusive,questionnaire (source of information: Dónall P.Ó Baoill)
5,GLI,is minic Max ag caint leis féin,is	minic	Max	ag	caint	leis	féin,is	often	Max	at	talking	with.[him	INT]=REFL,Max often talks to himself.,,,"<i>leis</i>: <i>le</i> + <i>sé</i>, fused form of preposition and pronoun; reflexive form consists of pronoun plus féin",reflexive,questionnaire (source of information: Dónall P.Ó Baoill)
6,GLI,tá {sé féin/seisean é féin} ag cruinniú faoi láthair,tá	{sé	féin/seisean	é	féin}	ag	cruinniú	faoi	láthair,is	{he	INT/(he.EMPH	him	INT}	at	meeting	at/under	present,He himself is in a meeting right now.,,,,adnominal,questionnaire (source of information: Dónall P.Ó Baoill)
7,GLI,é féin féin a rinne é,é	féin	féin	a	rinne	é,him	INT	INT	that	did	it,He did it all by himself.,,,,adv exclusive,questionnaire (source of information: Dónall P.Ó Baoill)
8,ABV,ana bagheet aruuħ ashuuf il-ħaadtha bi  nafs-i,ana	bagheet	aruuħ	ashuuf	il-ħaadtha	bi		nafs-i,I	wanted	go	see	ART-accident	INSTR		INT-POSS.1SG,I wanted to go and see the accident myself.,,,Gulf Arabic,adv exclusive,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge."
9,TRK,maalesef bunu kendi-m de bil-mi-yor-um,maalesef	bunu	kendi-m	de	bil-mi-yor-um,Unfortunately	that	INT-POSS.1SG	too	know-NEG-PRS-1SG,Unfortunately I don't know that myself.,,,,adv inclusive,questionnaire (source of information: Münevver Özkurt)
10,TRK,Paul ve Maria kendi-ler-i-ne hayran,Paul	ve	Maria	kendi-ler-i-ne	hayran,Paul	and	Mary	REFL-3PL-POSS-DAT	admire,Paul and Maria admire themselves.,,,,reflexive,questionnaire (source of information: Münevver Özkurt)
11,TRK,pazar_günü bile çalış-ma-m lazım,pazar_günü	bile	çalış-ma-m	lazım,sunday	even	work-VERBNOM-POSS.1SG	necessary,Even on Sunday I have to work.,,,,scalar focus particle,questionnaire (source of information: Münevver Özkurt)
12,TRK,kendi-m ve Paul Iskenderplatz’-da in-dik,kendi-m	ve	Paul	Iskenderplatz’-da	in-dik,INT-1.SG	and	Paul	Alexanderplatz-LOC	get.off-PAST.1PL,Paul and myself got off at Alexanderplatz.,,,,adnominal,questionnaire (source of information: Münevver Özkurt)
13,RUS,direktor sam budet govorit’ s nami,direktor	sam	budet	govorit’	s	nami,director	INT.MASC.SG	will	speak	with	us,The director himself will talk to us.,,,,adnominal,questionnaire (anonymous source informant)
14,FRN,dans l’-oasis même [il y a] assez d’eau,dans	l’-oasis	même	[il y a]	assez	d’eau,in	ART-oasis	INT	there.is	enough	PRTT-water,In the oasis itself there is enough water.,,,PRTT: partitive article <i>de</i>,adnominal,questionnaire (anonymous source informant)
15,FRN,le ministre lui-même nous recevra,le	ministre	lui-même	nous	recevra,ART	minister	he-INT	us	will.welcome,The minister himself will welcome us.,,,,adnominal,questionnaire (anonymous source informant)
16,FRN,j’-ouvre mes lettres moi-même,j’-ouvre	mes	lettres	moi-même,I-open	my	letters	I-INT,I open my letters myself.,,,<i>même</i> is phonologically dependent on a preceding nominal; therefore AVE combines a non-clitic pronoun and <i>même</i>,adv exclusive,questionnaire (anonymous source informant)
19,LIT,mùs priims pàts direktorius,mùs	priims	pàts	direktorius,us	will.welcome	INT.MASC.SG.NOM	director,The director himself will welcome us.,,,---,adnominal,questionnaire (anonymous source informant)
20,LIT,paciamè universitete restorano nėra,paciamè	universitete	restorano	nėra,INT.MASC.SG.LOC	university	restaurant.SG.GEN	not.be,There is no restaurant in the university itself.,,,,adnominal,questionnaire (anonymous source informant)
21,LIT,jìs perka sáu knỹgą,jìs	perka	sáu	knỹgą,he	buy	REFL.DAT	book,He is buying himself a book.,,,,reflexive,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag."
22,LIT,Olgos ryras dirba Potsdame. Patì Olga dirba Berlyne,Olgos	ryras	dirba	Potsdame.	Patì	Olga	dirba	Berlyne,Olga.GEN	husband	works	Potsdam	INT.FEM.SG.NOM	Olga 	works	Berlin,Olga's husband works in Potsdam. Olga herself works in Berlin.,,,,adnominal,questionnaire (anonymous source informant)
23,LIT,man skirtus laiškus atplėšiu visuomet aš pàts,man	skirtus	laiškus	atplėšiu	visuomet	aš	pàts,me	alloted.PART	letters	tear.open	always	I	INT.MASC.SG.NOM,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
24,LIT,kino žvaigžde ne pàts paraše savo autobiografiją,kino	žvaigžde	ne	pàts	paraše	savo	autobiografiją,cinema	star	NEG	INT.MASC.SG.NOM	wrote	REFL.GEN(POSS)	autobiography,The movie star did not write his autobiography himself.,,,,adv exclusive,questionnaire (anonymous source informant)
25,ABV,Maryam hiya al-karam-u ʔayn-u-hu,Maryam	hiya	al-karam-u	ʔayn-u-hu,Mary	she	ART-generosity-NOM	INT-NOM-POSS.3SG,Mary is generosity itself.,,,"<i>ʔayn</i>: INT, lit. <i>eye</i>; so-called 'quasi-superlative' use of intensifiers",adnominal,questionnaire (source of information: Mohammed Nekrumi)
26,DUT,zelfs ’s zondags moet ik werken,zelfs	’s	zondags	moet	ik	werken,even	PREP	sunday	must	I	work,Even on sundays I have to work.,,,,scalar focus particl,questionnaire (anonymous source informant)
33,PQL,dyrektor sam bedzie z nami rozmawial,dyrektor	sam	bedzie	z	nami	rozmawial,director	INT.MASC.SG.NOM	will	with	us	talk,The director himself will talk to us.,,,,adnominal,questionnaire (Anna Porchawka)
34,RUS,Ol’ga učit svoix detej sama,Ol’ga	učit	svoix	detej	sama,Olga	teaches	her	children	INT.FEM.SG,Olga teaches her children herself.,,,,adv exclusive,questionnaire (anonymous source informant)
35,RUS,etu knigu napisal ne sam prezident,etu	knigu	napisal	ne	sam	prezident,this.ACC	book.ACC	wrote	not	INT.MASC.SG	president,The president didn't write this book himself.,,,,adv exclusive,questionnaire (anonymous source informant)
36,SPN,este niño es el mismísimo diabolo,este	niño	es	el	mismísimo	diabolo,this	child	is	ART	INT(SUPERLATIVE)	devil,This child is the devil himself.,,,<i>mismísimo</i>: superlative (elative) of <i>mismo</i>,adnominal,questionnaire (anonymous source informant)
37,SPN,"el marido de Olga trabaja en Potsdam, pero la propia Olga trabaja en Berlin","el	marido	de	Olga	trabaja	en	Potsdam,	pero	la	propia	Olga	trabaja	en	Berlin","the	husband	of	Olga	works	in	Potsdam,	but	ART	INT	Olga	works	in	Berlin","Olga's husband works in Potsdam, but Olga herself works in Berlin.",,,,adnominal,questionnaire (anonymous source informant)
38,SPN,tiene chofer proprio,tiene	chofer	proprio,s/he.has	chauffeur	own,S/he's got a chauffeur of his/her own.,,,,own,questionnaire (anonymous source informant)
39,SPN,yo hago mis propias fotos,yo	hago	mis	propias	fotos,I	take	my	own	pictures,I take my own pictures.,,,,adv exclusive,questionnaire (anonymous source informant)
40,SPN,el director en persona [va a hablar] con nosotros,el	director	en	persona	[va a hablar]	con	nosotros,the	director	in	person	[willl.talk]	with	us,The director himself will talk to us.,,,,adnominal,questionnaire (anonymous source informant)
41,SPN,tengo una cita con el director en persona y no con su adjunto,tengo	una	cita	con	el	director	en	persona	y	no	con	su	adjunto,I.have	an	appointment	with	ART	director	in	person	and	not	with	his	secretary,"I have an appointment with the director himself, not with his secretary.",,,,adnominal,questionnaire (anonymous source informant)
42,SWD,barn-et själv(t) sa ingenting,barn-et	själv(t)	sa	ingenting,child-ART	INT	said	nothing,The child itself said nothing.,,,"<i>självt</i>: neuter form, agrees with gender of <i>barn</i> (<i>child</i>); masculine agreement is also possible",adnominal,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge."
43,SWD,hon är godheten själv,hon	är	godheten	själv,she	is	kindness.ART	INT,She is kindness itself.,,,---,adnominal,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge."
44,ITN,Il marito di Olga lavora a Potsdam. Olga stessa lavora a Berlino,Il	marito	di	Olga	lavora	a	Potsdam.	Olga	stessa	lavora	a	Berlino,the	husband	of	Olga	works	in	Potsdam.	Olga	INT.FEM	works	in	Berlin,Olga's husband works in Potsdam. Olga herself works in Berlin.,,,,adnominal,questionnaire (anonymous source informant)
45,ITN,sono proprio i vostri bambini?,sono	proprio	i	vostri	bambini?,are	own	ART	your	children,Are these your own children?,,,,own,questionnaire (anonymous source informant)
46,ITN,questa casa me la [sono costruita] proprio con le mie mani,questa	casa	me	la	[sono	costruita]	proprio	con	le	mie	mani,this	house	to.me	it	[I.have	built]	really	with	ART	my	hands,I built this house with my own hands.,,,,own,questionnaire (anonymous source informant)
47,ABV,al-mudīr-u nafs-u-hu sayastaqbilunā,al-mudīr-u	nafs-u-hu	sayastaqbilunā,ART-director-NOM	INT-NOM-POSS.3.SG	he.will.welcome.us.,The director himself will welcome us.,,,,adnominal,questionnaire (source of information: Mohammed Nekrumi)
48,ABV,ar-raʔis-u katab-a al-kitāb-a bi nafs-i-hi,ar-raʔis-u	katab-a	al-kitāb-a	bi	nafs-i-hi,ART-president-NOM	wrote-3.SG	ART-book-ACC	INSTR	INT-GEN-POSS.3.SG.M,The President wrote the book himself.,,,Egyptian Arabic,adv exclusive,questionnaire (source of information: Mohammed Nekrumi)
49,ABV,al-gar-u nafs-u-hu ya-rif-u-dalika,al-gar-u	nafs-u-hu	ya-rif-u-dalika,ART-neighbour-NOM	EVEN-NOM-POSS.3.SG	3.SG-knows-IMPF-that,Even the neighbour knows about it.,,,,scalar focus particle,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge."
50,BNG,nɔyon-Ø nije-Ø jabe,nɔyon-Ø	nije-Ø	jabe,Nayan-NOM	INT-NOM	will.go,Nayan himself will go.,,,,adnominal,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
51,BNG,toma-ke nije-ke jete hɔbe,toma-ke	nije-ke	jete	hɔbe,you-DAT.SG	INT-DAT.SG	go	will.be,You will have to go yourself.,,,,adv exclusive,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
52,BNG,nɔyon-Ø chobi-ţa nije-Ø nije-Ø ẽkeche,nɔyon-Ø	chobi-ţa	nije-Ø	nije-Ø	ẽkeche,Nayan-NOM	picture-ACC	INT-NOM	INT-NOM	has.drawn,Nayan has drawn the picture by himself.,,,&lt;ţ&gt;: voiceless retroflex plosive,adv exclusive,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
65,KKN,Olga casin-eun Berlineso il ha(n)da,Olga	casin-eun	Berlineso	il	ha(n)da,Olga	INT-NOM	Berlin	in	works,Olga herself works in Berlin.,,,,adnominal,Moon Seung Hyun (p.c.)
66,MJS,nii nin-ne tanne nasippiccu,nii	nin-ne	tanne	nasippiccu,you	you-ACC	INT	destroyed,You destroyed yourself.,,,"intensifier as 'protective' element (cf. Jayaseelan 1988, 1997)",reflexive,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge."
67,NRN,pav-en selv var der,pav-en	selv	var	der,pope-ART	INT	was	there,The director himself was there.,,,,adnominal,"Strandskogen, Åse-Berit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge."
68,GLI,fanóidh mise mé féin leis na páistí,fanóidh	mise	mé	féin	leis	na	páistí,will.stay	I.EMPH	I	INT	with.them	ART	children,I myself will stay with the kids.,,,,adnominal,questionnaire (source of information: Dónall P.Ó Baoill)
69,GLI,tá m’eochair féin agam,tá	m’eochair	féin	agam,is	my.key	INT	at-me,I have my own key.,,,,own,questionnaire (source of information: Dónall P.Ó Baoill)
70,PES,Hushang xod-as zala-ra did,Hushang	xod-as	zala-ra	did,Hushang	INT-POSS.3SG	Zhala-ACC	saw,Hushang himself saw Zhala,,,,adnominal,questionnaire (anonymous source informant)
71,PES,u hame raa xod-as dide,u	hame	raa	xod-as	dide,he	all	ACC	INT-POSS.3SG	DUR-knows,He already knows everything himself.,,,DUR: durative,adv exclusive,questionnaire (anonymous source informant)
72,PES,u tasadof-raa xod-as dide ast,u	tasadof-raa	xod-as	dide	ast,she	accident-ACC	INT-POSS.3SG	see.PART.PFCT	is,She has seen the accident herself.,,,,adv inclusive,questionnaire (anonymous source informant)
73,PES,ma xod-raa dar a’ine mibinim,ma	xod-raa	dar	a’ine	mibinim,We	REFL-ACC	in	mirror	we.see,We see ourselves in the mirror.,,,,reflexive,questionnaire (anonymous source informant)
74,PQL,dyrektor sam bedzie z nami,dyrektor	sam	bedzie	z	nami,director	INT.MASC.SG.NOM	will.be	with	us,The director himself will be with us.,,,,adnominal,questionnaire (Anna Porchawka)
75,PQL,Olga uczy swoje dzieci sama,Olga	uczy	swoje	dzieci	sama,Olga	teaches	her(REFL)	child.ACC.PL	INT.FEM.SG.NOM,Olga teaches her children herself.,,,,adv exclusive,questionnaire (Anna Porchawka)
77,SPN,"podemos preguntar a Maria, porque ella misma vió el accidente","podemos	preguntar	a	Maria,	porque	ella	misma	vió	el	accidente",we.can	ask	OBJ	Maria	because	she	INT.SG.FEM	saw	ART	accident,We can ask Maria. She has seen the accident herself.,,,OBJ: object marker,adnominal,questionnaire (anonymous source informant)
78,SPN,lo comprobé yo mismo,lo	comprobé	yo	mismo,it	I.checked	I	INT.3SG.MASC,I checked it myself.,,,,adv exclusive,questionnaire (anonymous source informant)
79,SWD,jag kan göra det själv,jag	kan	göra	det	själv,I	can	do	that	INT,I can do that myself.,,,-,adv exclusive,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge."
80,SWD,han hjälper bara sig själv,han	hjälper	bara	sig	själv,he	helps	only	REFL	INT,He helps only himself.,,,"When <i>seg</i> is in focus, it obligatorily combines with <i>själv</i>",reflexive,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge."
81,SWD,själv-a kung-en har sovit här,själv-a	kung-en	har	sovit	här,INT-DEF	king-ART	has	slept	here,The king himself has slept here.,,,-,adnominal,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge."
82,SWD,direktör-en själv vill tala med oss,direktör-en	själv	vill	tala	med	oss,director-ART	INT	wants	speak	with	us,The director himself will talk to us.,,,,adnominal,questionnaire (anonymous source informant)
83,TRK,müdür-ün kendi-si bizim-le konusacak,müdür-ün	kendi-si	bizim-le	konusacak,Director-GEN	INT-POSS.3SG	us-with	will.talk,The director himself will talk to us.,,,,adnominal,questionnaire (source of information: Münevver Özkurt)
84,TRK,Olga çocuklarını kendi-si okutur,Olga	çocuklarını	kendi-si	okutur,Olga	her.children	INT-POSS.3SG	teaches,Olga teaches her children herself.,,,,adv exclusive,questionnaire (source of information: Münevver Özkurt)
93,GLI,tá an príomhchócaire atá anseo sármhaith; tá cuma shuarach ar an áit (é) féin,tá	an	príomhchócaire	atá	anseo	sármhaith;	tá	cuma	shuarach	ar	an	áit	(é)	féin,is	ART	main-cook	that	is	here	excellent;	is	appearance	shabby	on	ART	place	(him/it)	INT,The cook here is excellent. The place itself looks rather shabby.,,,,adnominal,questionnaire (source of information: Dónall P.Ó Baoill)
94,DUT,de directeur zal zélf met ons praten,de	directeur	zal	zélf	met	ons	praten,ART	director	will	INT	with	us	speak,The director will talk to us himself.,,,&lt;é&gt;: Dutch orthographic convention commonly used to mark stress,adv exclusive,questionnaire (anonymous source informant)
95,DUT,mijn post maak ik altijd zelf open,mijn	post	maak	ik	altijd	zelf	open,my	letters	make	I	always	INT	open,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
96,DUT,"kun je me tien gulden geven? Helaas niet, ik heb zelf geen geld","kun	je	me	tien	gulden	geven?	Helaas	niet,	ik	heb	zelf	geen	geld",can	you	me	ten	guilders	give	unfortunately	not	I	have	INT	no	money,"Can you give me ten guilders? Unfortunately not, I have no money myself.",,,,adv inclusive,questionnaire (anonymous source informant)
97,FRN,la vedette de cinéma n’a pas écrit lui-même son autobiographie,la	vedette	de	cinéma	n’a	pas	écrit	lui-même	son	autobiographie,ART	star	of	cinema	not-has	PRT	written	he-INT	his	autobiography,The movie star did not write his autobiography himself.,,,,adv exclusive,questionnaire (anonymous source informant)
99,KKN,uri daetongyong-i i-chaegeul jikjob sseu(ji anat)da,uri	daetongyong-i	i-chaegeul	jikjob	sseu(ji anat)da,our	president-NOM	this-book	INT	wrote.NEG,Our president didn't write this book himself.,,,-,adv exclusive,Moon Seung Hyun ( p.c.)
100,MJS,avan tanne (tanne) kurrappetutti,avan	tanne	(tanne)	kurrappetutti,he	him	REFL (INT)	accused,He accused himself.,,,,reflexive,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge."
101,MJS,naan tanne atə ceyyaam,naan	tanne	atə	ceyyaam,I	INT	it	will.do,I will do it myself.,,,,adv exclusive,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge."
104,POR,eu mesmo infelizmente não sei,eu	mesmo	infelizmente	não	sei,I	INT-MASC.SG	unfortunately	not	know,"Unfortunately, I don´t know this myself.",,,,adnominal,questionnaire (Sabine Reiter)
105,KKN,nae upyonmul-eun ne-ga jikjob yo(n)da,nae	upyonmul-eun	ne-ga	jikjob	yo(n)da,my	letters-OBJ	I-NOM	INT	open,I always open my letters myself.,,,-,adv exclusive,Moon Seung Hyun (p.c.)
106,KKN,no jikjob mulobollae,no	jikjob	mulobollae,you	INT	can.ask,You can ask (the person) yourself.,,,-,adv exclusive,Moon Seung Hyun (p.c.)
111,FRN,"je m’-excuse, mais je suis un peu juste moi-même","je	m’-excuse,	mais	je	suis	un	peu	juste	moi-même",I	me-excuse	but	I	am	a	little	short	I-INT,"I'm sorry, but I'm a little short myself.",,,,adv inclusive,questionnaire (anonymous source informant)
112,ITN,Paul ha tradito la propria famiglia,Paul	ha	tradito	la	propria	famiglia,Paul	has	betrayed	ART	own	family,Paul betrayed his own family.,,,,own,questionnaire (anonymous source informant)
113,ITN,ci riceverà il direttore in persona,ci	riceverà	il	direttore	in	persona,us	will.receive	ART	director	in	person,The director himself will welcome us.,,,,adnominal,questionnaire (anonymous source informant)
114,ITN,Maria è la bontà in persona,Maria	è	la	bontà	in	persona,Maria	is	ART	kindness	in	person,Maria is kindness itself.,,,,adnominal,questionnaire (anonymous source informant)
115,ITN,la foto l´-ho fatta io stesso,la	foto	l´-ho	fatta	io	stesso,the	picture	it-I.have	made	I	INT.SG.MASC,I took this picture myself.,,,,adv exclusive,questionnaire (anonymous source informant)
116,ITN,Paul ordina una birra per tutti tranne che per sé stesso,Paul	ordina	una	birra	per	tutti	tranne	che	per	sé	stesso,Paul	ordered	a	beer	for	everyone	apart	from	for	REFL	INT.SG.MASC,Paul ordered a beer for everyone apart from himself.,,,,reflexive,questionnaire (anonymous source informant)
117,AMH,diräktär-u ras-u yəqqäbälänall,diräktär-u	ras-u	yəqqäbälänall,director-ART	INT-POSS.3SG	will.welcome.us,The director himself will welcome us.,,,,adnominal,questionnaire (anonymous source informant)
118,AMH,one-m ras-e alawquewom,one-m	ras-e	alawquewom,I-too	INT-POSS.1SG	not.know.it,I myself don't know it either.,,,"inclusive reading probably results from <i>-m</i>, not from intensifier",adv inclusive,questionnaire (anonymous source informant)
119,AMH,hulgoze yä-ras-e-n debdabe (one-w) ras-e okäftallähu,hulgoze	yä-ras-e-n	debdabe	(one-w)	ras-e	okäftallähu,always	ATTR-INT-POSS.1SG-ACC	letter(SG)	(I-ART)	INT-POSS.1SG	I.open,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
120,ARM,director-n ink’-ə mez əndun-elu e,director-n	ink’-ə	mez	əndun-elu	e,Director-ART	INT-DEF	we.DAT	welcome-FUT	is,The director himself will welcome us.,,,,adnominal,questionnaire (source of information: Stella Gevorkian)
121,ARM,im pošt-e mišt ink’-s em bac´-um,im	pošt-e	mišt	ink’-s	em	bac´-um,my	mail-ART	always	INT-POSS.1SG	am	open-PART,I always open my letters myself.,,,,adv exclusive,questionnaire (source of information: Stella Gevorkian)
122,KVA,ewda Jelcin w-a: kWaniba,ewda	Jelcin	w-a:	kWaniba,INT.ABS.M	Yeltsin	MASC.come	Kwanada,Yeltsin himself came to Kwanada. (or: Even Yeltsin came to Kwanada),,,"When <i>ewda</i> precedes focus, scalar reading possible?",adnominal,questionnaire (source of information: Ekaterina Lyutikova)
123,KVA,ow ewda-la miXtiru-w w-uk,ow	ewda-la	miXtiru-w	w-uk,this.MASC	INT.M.ABS-ADD	drunk.MASC	MASC-be,He was drunk himself.,,,<i>-la</i> probably evokes additive meaning; ADD: additive particle (<i>too</i>); &lt;X&gt;: probably uvular voiceless fricative,adv inclusive,questionnaire (source of information: Ekaterina Lyutikova)
124,BLG,Sam direktor-at šte govori s nas,Sam	direktor-at	šte	govori	s	nas,INT.MASC	director-DEF	PART.FUT	talks	with	us,The director himself will talk to us.,,,,adnominal,questionnaire (source informant: Nina Petrova)
125,BLG,[za săžalenie] tova sam-ija/sam-ata az ne snam,[za săžalenie]	tova	sam-ija/sam-ata	az	ne	snam,Unfortunately	this	INT-MASC.DEF/FEM.DEF	I	not	know,I don´t know this myself.,,,,adv inclusive,questionnaire (source informant: Nina Petrova)
126,BLG,maš-at na Olga raboti v Potsdam. Olga sam-ata raboti v Berlin,maš-at	na	Olga	raboti	v	Potsdam.	Olga	sam-ata	raboti	v	Berlin,husband-DEF	of	Olga	works	in	Potsdam.	Olga	INT-FEM.DEF	works	in	Berlin,Olga´s husband works in Potsdam. Olga herself works in Berlin.,,,,adnominal,questionnaire (source informant: Nina Petrova)
127,HND,sancaalak xud/aap/svayam hamaaraa svaagat karegaa,sancaalak	xud/aap/svayam	hamaaraa	svaagat	karegaa,director	INT	our	welcoming	will.make,The director himself will welcome us.,,,,adnominal,questionnaire (anonymous source informant)
128,HND,raadhaa-nee apnee (aap)-koo šiišee-mẽẽ deekh-aa,raadhaa-nee	apnee	(aap)-koo	šiišee-mẽẽ	deekh-aa,Radha-ERG	[REFL	(INT)-DAT]	mirror-in	see-PFCT,Radha saw herself in the mirror.,,,translation with <i>aap</i>: <i>Radha saw herSELF in the mirror (and not others)</i><br> translation without <i>aap</i>: <i>Radha saw herself in the MIRror (and noticed he was a mess)</i>,reflexive,"Davison, A. Mistry (2000). Lexical anaphors and pronouns in Hindi/Urdu. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter."
129,HND,apnii citthiiyã mai hamešaa apne aap/xud khol-taa hu,apnii	citthiiyã	mai	hamešaa	apne	aap/xud	khol-taa	hu,REFL.GEN.FEM	letters	I	always	REFL	INT	open-PART	am,I always open my letters myself.,,,,adv exclusive,questionnaire (anonymous source informant)
134,POR,"é seu, e mesma","é	seu,	e	mesma","is	I,	I	INT-FEM.SG",It´s me. I myself.,,,,adnominal,questionnaire (Sabine Reiter)
135,POR,o Paulo cozinha para si mesmo,o	Paulo	cozinha	para	si	mesmo,ART	Paulo	cooks	for	REFL	INT,Paul cooks for himself.,,,,reflexive,questionnaire (Sabine Reiter)
136,POR,o director em pessoa vai falar conosco,o	director	em	pessoa	vai	falar	conosco,the	director	in	person	will	talk	with.us,The director himself/personally will talk to us.,,,,adnominal,questionnaire (Sabine Reiter)
137,POR,"eu próprio, abro sempre a minha correspondencia","eu	próprio,	abro	sempre	a	minha	correspondencia","I	INT,	open	always	ART	my	correspondence",I always open my letters myself.,,,,adv exclusive,questionnaire (Sabine Reiter)
138,POR,lamento mas eu próprio não sei isso,lamento	mas	eu	próprio	não	sei	isso,I.regret	but	I	INT	not	know	that,I´m sorry. But I don´t know that myself.,,,,adv inclusive,questionnaire (Sabine Reiter)
