Nr,language,pov,original,gloss,translation,source,page,comments
95,Dutch,adv exclusive,mijn</td><td>post</td><td>maak</td><td>ik</td><td>altijd</td><td>zelf</td><td>open,my</td><td>letters</td><td>make</td><td>I</td><td>always</td><td>INT</td><td>open,I always open my letters myself.,questionnaire (anonymous source informant),-,--
96,Dutch,adv inclusive,"kun</td><td>je</td><td>me</td><td>tien</td><td>gulden</td><td>geven?</td><td>Helaas</td><td>niet,</td><td>ik</td><td>heb</td><td>zelf</td><td>geen</td><td>geld",can</td><td>you</td><td>me</td><td>ten</td><td>guilders</td><td>give</td><td>unfortunately</td><td>not</td><td>I</td><td>have</td><td>INT</td><td>no</td><td>money,"Can you give me ten guilders? Unfortunately not, I have no money myself.",questionnaire (anonymous source informant),-,--
97,French,adv exclusive,la</td><td>vedette</td><td>de</td><td>cinéma</td><td>n&#146;a</td><td>pas</td><td>écrit</td><td>lui-même</td><td>son</td><td>autobiographie,ART</td><td>star</td><td>of</td><td>cinema</td><td>not-has</td><td>PRT</td><td>written</td><td>he-INT</td><td>his</td><td>autobiography,The movie star did not write his autobiography himself.,questionnaire (anonymous source informant),-,--
99,Korean,adv exclusive,uri</td><td>daetongyong-i</td><td>i-chaegeul</td><td>jikjob</td><td>sseu(ji&nbsp;anat)da,our</td><td>president-NOM</td><td>this-book</td><td>INT</td><td>wrote.NEG,Our president didn't write this book himself.,Moon Seung Hyun ( p.c.),-,-
100,Malayalam,reflexive,avan</td><td>tanne</td><td>(tanne)</td><td>kurrappetutti,he</td><td>him</td><td>REFL&nbsp;(INT)</td><td>accused,He accused himself.,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge.",162164,--
101,Malayalam,adv exclusive,naan</td><td>tanne</td><td>at&#601;</td><td>ceyyaam,I</td><td>INT</td><td>it</td><td>will.do,I will do it myself.,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge.",162,--
104,Portuguese,adnominal,eu</td><td>mesmo</td><td>infelizmente</td><td>não</td><td>sei,I</td><td>INT-MASC.SG</td><td>unfortunately</td><td>not</td><td>know,"Unfortunately, I don´t know this myself.",questionnaire (Sabine Reiter),-,--
105,Korean,adv exclusive,nae</td><td>upyonmul-eun</td><td>ne-ga</td><td>jikjob</td><td>yo(n)da,my</td><td>letters-OBJ</td><td>I-NOM</td><td>INT</td><td>open,I always open my letters myself.,Moon Seung Hyun (p.c.),-,-
106,Korean,adv exclusive,no</td><td>jikjob</td><td>mulobollae,you</td><td>INT</td><td>can.ask</td><td>,You can ask (the person) yourself.,Moon Seung Hyun (p.c.),-,-
111,French,adv inclusive,"je</td><td>m&#146;-excuse,</td><td>mais</td><td>je</td><td>suis</td><td>un</td><td>peu</td><td>juste</td><td>moi-même",I</td><td>me-excuse</td><td>but</td><td>I</td><td>am</td><td>a</td><td>little</td><td>short</td><td>I-INT,"I'm sorry, but I'm a little short myself.",questionnaire (anonymous source informant),-,--
112,Italian,own,Paul</td><td>ha</td><td>tradito</td><td>la</td><td>propria</td><td>famiglia,Paul</td><td>has</td><td>betrayed</td><td>ART</td><td>own</td><td>family,Paul betrayed his own family.,questionnaire (anonymous source informant),-,--
113,Italian,adnominal,ci</td><td>riceverà</td><td>il</td><td>direttore</td><td>in</td><td>persona,us</td><td>will.receive</td><td>ART</td><td>director</td><td>in</td><td>person,The director himself will welcome us.,questionnaire (anonymous source informant),-,--
114,Italian,adnominal,Maria</td><td>è</td><td>la</td><td>bontà</td><td>in</td><td>persona,Maria</td><td>is</td><td>ART</td><td>kindness</td><td>in</td><td>person,Maria is kindness itself.,questionnaire (anonymous source informant),-,--
115,Italian,adv exclusive,la</td><td>foto</td><td>l´-ho</td><td>fatta</td><td>io</td><td>stesso,the</td><td>picture</td><td>it-I.have</td><td>made</td><td>I</td><td>INT.SG.MASC,I took this picture myself.,questionnaire (anonymous source informant),-,--
116,Italian,reflexive,Paul</td><td>ordina</td><td>una</td><td>birra</td><td>per</td><td>tutti</td><td>tranne</td><td>che</td><td>per</td><td>sé</td><td>stesso,Paul</td><td>ordered</td><td>a</td><td>beer</td><td>for</td><td>everyone</td><td>apart</td><td>from</td><td>for</td><td>REFL</td><td>INT.SG.MASC,Paul ordered a beer for everyone apart from himself.,questionnaire (anonymous source informant),-,--
117,Amharic,adnominal,diräktär-u</td><td>ras-u</td><td>y&#601;qqäbälänall,director-ART</td><td>INT-POSS.3SG</td><td>will.welcome.us,The director himself will welcome us.,questionnaire (anonymous source informant),-,--
118,Amharic,adv inclusive,one-m</td><td>ras-e</td><td>alawquewom,I-too</td><td>INT-POSS.1SG</td><td>not.know.it,I myself don't know it either.,questionnaire (anonymous source informant),-,"inclusive reading probably results from <i>-m</i>, not from intensifier"
119,Amharic,adv exclusive,hulgoze</td><td>yä-ras-e-n</td><td>debdabe</td><td>(one-w)</td><td>ras-e</td><td>okäftallähu,always</td><td>ATTR-INT-POSS.1SG-ACC</td><td>letter(SG)</td><td>(I-ART)</td><td>INT-POSS.1SG</td><td>I.open,I always open my letters myself.,questionnaire (anonymous source informant),-,--
120,Armenian,adnominal,director-n</td><td>ink&#146;-&#601;</td><td>mez</td><td>&#601;ndun-elu</td><td>e,Director-ART</td><td>INT-DEF</td><td>we.DAT</td><td>welcome-FUT</td><td>is,The director himself will welcome us.,questionnaire (source of information: Stella Gevorkian),-,--
121,Armenian,adv exclusive,im</td><td>pošt-e</td><td>mišt</td><td>ink&#146;-s</td><td>em</td><td>bac´-um,my</td><td>mail-ART</td><td>always</td><td>INT-POSS.1SG</td><td>am</td><td>open-PART,I always open my letters myself.,questionnaire (source of information: Stella Gevorkian),-,--
122,Bagvalal,adnominal,ewda</td><td>Jelcin</td><td>w-a:</td><td>kWaniba,INT.ABS.M</td><td>Yeltsin</td><td>MASC.come</td><td>Kwanada,Yeltsin himself came to Kwanada. (or: Even Yeltsin came to Kwanada),questionnaire (source of information: Ekaterina Lyutikova),-,"When <i>ewda</i> precedes focus, scalar reading possible?"
123,Bagvalal,adv inclusive,ow</td><td>ewda-la</td><td>miXtiru-w</td><td>w-uk,this.MASC</td><td>INT.M.ABS-ADD</td><td>drunk.MASC</td><td>MASC-be,He was drunk himself.,questionnaire (source of information: Ekaterina Lyutikova),-,<i>-la</i> probably evokes additive meaning; ADD: additive particle (<i>too</i>); &lt;X&gt;: probably uvular voiceless fricative
124,Bulgarian,adnominal,Sam</td><td>direktor-at</td><td>šte</td><td>govori</td><td>s</td><td>nas,INT.MASC</td><td>director-DEF</td><td>PART.FUT</td><td>talks</td><td>with</td><td>us,The director himself will talk to us.,questionnaire (source informant: Nina Petrova),-,--
125,Bulgarian,adv inclusive,[za&nbsp;s&#259;žalenie]</td><td>tova</td><td>sam-ija/sam-ata</td><td>az</td><td>ne</td><td>snam,Unfortunately</td><td>this</td><td>INT-MASC.DEF/FEM.DEF</td><td>I</td><td>not</td><td>know,I don´t know this myself.,questionnaire (source informant: Nina Petrova),-,--
126,Bulgarian,adnominal,maš-at</td><td>na</td><td>Olga</td><td>raboti</td><td>v</td><td>Potsdam.</td><td>Olga</td><td>sam-ata</td><td>raboti</td><td>v</td><td>Berlin,husband-DEF</td><td>of</td><td>Olga</td><td>works</td><td>in</td><td>Potsdam.</td><td>Olga</td><td>INT-FEM.DEF</td><td>works</td><td>in</td><td>Berlin,Olga´s husband works in Potsdam. Olga herself works in Berlin.,questionnaire (source informant: Nina Petrova),-,--
127,Hindi,adnominal,sancaalak</td><td>xud/aap/svayam</td><td>hamaaraa</td><td>svaagat</td><td>karegaa,director</td><td>INT</td><td>our</td><td>welcoming</td><td>will.make,The director himself will welcome us.,questionnaire (anonymous source informant),-,--
128,Hindi,reflexive,raadhaa-nee</td><td>apnee</td><td>(aap)-koo</td><td>šiišee-me&#771;e&#771;</td><td>deekh-aa,Radha-ERG</td><td>[REFL</td><td>(INT)-DAT]</td><td>mirror-in</td><td>see-PFCT,Radha saw herself in the mirror.,"Davison, A. Mistry (2000). Lexical anaphors and pronouns in Hindi/Urdu. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",408,translation with <i>aap</i>: <i>Radha saw herSELF in the mirror (and not others)</i><br> translation without <i>aap</i>: <i>Radha saw herself in the MIRror (and noticed he was a mess)</i>
129,Hindi,adv exclusive,apnii</td><td>citthiiyã</td><td>mai</td><td>hamešaa</td><td>apne</td><td>aap/xud</td><td>khol-taa</td><td>hu,REFL.GEN.FEM</td><td>letters</td><td>I</td><td>always</td><td>REFL</td><td>INT</td><td>open-PART</td><td>am,I always open my letters myself.,questionnaire (anonymous source informant),-,--
134,Portuguese,adnominal,"é</td><td>seu,</td><td>e</td><td>mesma","is</td><td>I,</td><td>I</td><td>INT-FEM.SG",It´s me. I myself.,questionnaire (Sabine Reiter),-,--
135,Portuguese,reflexive,o</td><td>Paulo</td><td>cozinha</td><td>para</td><td>si</td><td>mesmo,ART</td><td>Paulo</td><td>cooks</td><td>for</td><td>REFL</td><td>INT,Paul cooks for himself.,questionnaire (Sabine Reiter),-,--
136,Portuguese,adnominal,o</td><td>director</td><td>em</td><td>pessoa</td><td>vai</td><td>falar</td><td>conosco,the</td><td>director</td><td>in</td><td>person</td><td>will</td><td>talk</td><td>with.us,The director himself/personally will talk to us.,questionnaire (Sabine Reiter),-,--
137,Portuguese,adv exclusive,"eu</td><td>próprio,</td><td>abro</td><td>sempre</td><td>a</td><td>minha</td><td>correspondencia","I</td><td>INT,</td><td>open</td><td>always</td><td>ART</td><td>my</td><td>correspondence",I always open my letters myself.,questionnaire (Sabine Reiter),-,--
138,Portuguese,adv inclusive,lamento</td><td>mas</td><td>eu</td><td>próprio</td><td>não</td><td>sei</td><td>isso,I.regret</td><td>but</td><td>I</td><td>INT</td><td>not</td><td>know</td><td>that,I´m sorry. But I don´t know that myself.,questionnaire (Sabine Reiter),-,--
139,Portuguese,scalar focus particl,mesmo</td><td>aos</td><td>domingos</td><td>eu</td><td>tenho</td><td>que</td><td>trabalhar,even</td><td>on.the</td><td>sundays</td><td>I</td><td>have</td><td>to</td><td>work,Even on Sunday I have to work.,questionnaire (Sabine Reiter),-,--
140,Slovak,adnominal,ja</td><td>sám</td><td>zostanem</td><td>pri</td><td>det&#146;och,I</td><td>INT.NOM.SG.MASC</td><td>I.stay</td><td>with</td><td>children,I myself stay with the kids.,Insa Gülzow (p.c.),-,--
141,Slovak,adv inclusive,sama</td><td>ne-mám</td><td>peniaze,INT.NOM.SG.FEM</td><td>not-I.have</td><td>money,I don't have money myself.,Insa Gülzow (p.c.),-,--
142,Slovak,adv exclusive,vlastnú</td><td>postu</td><td>si</td><td>otváram</td><td>vzdy</td><td>sama,own.ACC</td><td>mail.ACC</td><td>REFL.DAT</td><td>I.open</td><td>always</td><td>INT.NOM.SG.FEM,I always open my letters myself.,Insa Gülzow (p.c.),-,--
143,Tsakhur,adv exclusive,bajram</td><td>wuž-žar</td><td>a&#124;l<sub>j</sub>ha:sda,Bajram.NOM</td><td>INT.NOM-RESTR</td><td>will.go.away,(It isn't necessary to chase Bajram.) Bajram will go away himself.,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",234,RESTR: restrictive
144,Tsakhur,adnominal,"in<sub>j</sub>a:</td><td>sažu</td><td>&#269;ož</td><td>worna</td><td>rasul-na,</td><td>wuž</td><td>rasul</td><td>worna</td><td>Xiw-e:",here</td><td>only</td><td>brother.NOM</td><td>is</td><td>Rasul-of</td><td>INT.NOM</td><td>Rasul.NOM</td><td>is</td><td>village-INESS,"Only Rasul's brother is here, but Rasul himself is in the village.","Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",237,--
145,Yiddish,adnominal,di</td><td>turistn</td><td>zenen</td><td>fun</td><td>der</td><td>lavine</td><td>bagrobn</td><td>gevorn.</td><td>nor</td><td>der</td><td>bergfirer</td><td>aleyn</td><td>hot´s</td><td>iberlebt,ART</td><td>tourists</td><td>are</td><td>PREP</td><td>ART</td><td>avalanche</td><td>buried</td><td>became.</td><td>only</td><td>ART</td><td>mountain.guide</td><td>INT</td><td>has.it</td><td>survived,The tourists were buried by an avalanche. Only the mountain guide himself survived.,questionnaire (source informant: Adam Albright),-,--
146,Yiddish,adnominal,Maria</td><td>iz</td><td>di</td><td>gutskayt</td><td>aleyn,Maria</td><td>is</td><td>ART</td><td>kindness</td><td>INT,Maria is kindness itself.,questionnaire (source informant: Adam Albright),-,--
147,Yiddish,adv inclusive,Ikh</td><td>aleyn</td><td>veys</td><td>dos</td><td>nit,I</td><td>INT</td><td>know</td><td>that</td><td>not,I don´t know this myself.,questionnaire (source informant: Adam Albright),-,--
148,Yiddish,adnominal,dem</td><td>kardinal</td><td>aleyn/gufe</td><td>hobm</td><td>mir</td><td>nit</td><td>gezeyn,ART</td><td>cardinal</td><td>INT</td><td>have</td><td>we</td><td>not</td><td>seen,The director himself we haven't seen.,questionnaire (source informant: Adam Albright),-,--
149,Yiddish,adv exclusive,mayne</td><td>post</td><td>effen</td><td>ikh</td><td>alemal</td><td>aleyn/gufe,my</td><td>letters</td><td>open</td><td>I</td><td>always</td><td>INT/INT,I always open my letters myself.,questionnaire (source informant: Adam Albright),-,--
151,Danish,adnominal,direktør-en</td><td>ham</td><td>selv</td><td>vil</td><td>tale</td><td>med</td><td>os,director-ART</td><td>INT</td><td>INT</td><td>will</td><td>talk</td><td>with</td><td>us,The director himself will talk to us.,questionnaire (source informant: Nanna Brandenhoff),-,--
152,Danish,scalar focus particle,selv</td><td>på</td><td>søndag</td><td>skal</td><td>jeg</td><td>på</td><td>arbejde,even</td><td>on</td><td>sunday</td><td>have</td><td>I</td><td>to</td><td>work,Even on sunday I have to work.,questionnaire (source informant: Nanna Brandenhoff),-,--
153,Danish,adv inclusive,jeg</td><td>har</td><td>ikke</td><td>selv</td><td>nogen</td><td>penge,I</td><td>have</td><td>not</td><td>INT</td><td>any</td><td>money,I don't have money myself.,questionnaire (source informant: Nanna Brandenhoff),-,--
154,Amharic,adnominal,bä-ras-u</td><td>bä-kure-w</td><td>wust</td><td>bäqi</td><td>wuha</td><td>allä,LOC-INT-3.SG.M</td><td>LOC-oasis-ART</td><td>in</td><td>enough</td><td>water</td><td>exists,In the oasis itself there is enough water.,questionnaire (anonymous source informant),-,locative is marked twice (bä-)
155,Armenian,adv inclusive,"ap&#146;sos,</td><td>bayc&#146;</td><td>es</td><td>ink&#146;-s</td><td>(el)</td><td>ayd</td><td>c&#146;-gitem",unfortunately</td><td>but</td><td>I</td><td>INT-POSS.1SG</td><td>(also)</td><td>that</td><td>NEG-I.know,"Unfortunately, I don't know that myself.",questionnaire (source of information: Stella Gevorkian),-,unclear if dropping <i>el</i> (<i>too</i>) really does not change the meaning
156,French,adnominal,le</td><td>directeur</td><td>en</td><td>personne</td><td>nous</td><td>recevra,ART</td><td>directeur</td><td>in</td><td>person</td><td>us</td><td>will.welcome,The director in person/himself will welcome us.,questionnaire (anonymous source informant),-,--
157,Hindi,own,Paul-ne</td><td>(xud)</td><td>apne</td><td>parivaar</td><td>[ke&nbsp;saath]</td><td>višvaasghaat</td><td>kiyaa,Pau-ERG</td><td>(INT)</td><td>REFL.GEN</td><td>family</td><td>[together.with]</td><td>betrayal</td><td>PART.PFCT.do.3SG,Paul betrayed his own family.,questionnaire (anonymous source informant),-,--
158,Korean,adnominal,gu</td><td>chip</td><td>cashey-neun</td><td>maeu</td><td>orae</td><td>doi(t)da,the</td><td>house</td><td>INT-NOM</td><td>very</td><td>old</td><td>was,The house itself was very old.,Moon Seung Hyun (p.c.),-,-
159,Malayalam,adnominal,naan-ee</td><td>ceytaal</td><td>prasnam</td><td>tiirum,I-INT</td><td>do.COND</td><td>problem</td><td>end.FUT,The problem will be solved if I myself do it/I do it myself.,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge.",162,--
163,Amharic,adnominal,bä-g&#601;ll-e</td><td>läzih</td><td>wusane</td><td>g&#601;d</td><td>yälänn&#601;m,INSTR-g&#601;ll-POSS.1SG</td><td>concerning.this</td><td>decision</td><td>objection</td><td>I.have.not,Personally I don't have any objection to this decision.,questionnaire (anonymous source informant),-,--
167,Hindi,adnominal,svayam</td><td>restaurant</td><td>(hii)</td><td>dekh-ne</td><td>mê</td><td>balki</td><td>kaaf&#299;</td><td>puraanaa</td><td>lag-taa</td><td>hai,INT</td><td>restaurant</td><td>(EMPH)</td><td>see-OBL</td><td>in</td><td>however</td><td>rather</td><td>old</td><td>seem-PART.PRS</td><td>is,The restaurant itself seems to be rather old.,questionnaire (anonymous source informant),-,--
168,Polish,reflexive,on</td><td>kocha</td><td>sie</td><td>sam</td><td>ponad</td><td>wszystko,He</td><td>loves</td><td>REFL</td><td>INT.MASC.SG.NOM</td><td>most</td><td>of.all,Most of all he loves himself.,questionnaire (Anna Porchawka),-,--
169,Russian,adv exclusive,moi</td><td>pis&#146;ma</td><td>ja</td><td>vsegda</td><td>raspe&#269;atyvaju</td><td>sam/a,my</td><td>letters</td><td>I</td><td>always</td><td>I.open</td><td>INT.SG.MASC/FEM,I always open my letters myself.,questionnaire (anonymous source informant),-,--
170,Slovak,adnominal,riaditel</td><td>nas</td><td>prijme</td><td>osobne,director</td><td>us</td><td>welcomes</td><td>personally,The director will welcome us personally.,Insa Gülzow (p.c.),-,--
171,Spanish,adv exclusive,mis</td><td>cartas</td><td>las</td><td>abro</td><td>siempre</td><td>yo</td><td>mismo,my</td><td>letters</td><td>them</td><td>I.open</td><td>always</td><td>I</td><td>INT.SG.MASC,I always open my letters myself.,questionnaire (anonymous source informant),-,--
175,Hungarian,adnominal,mag-a</td><td>az</td><td>igazgató</td><td>fogad</td><td>minket,INT-POSS.3SG.NOM</td><td>ART</td><td>director</td><td>welcome</td><td>us,The director himself welcomes us.,questionnaire (source of information: Ildikó Reinhardt),-,--
176,Hungarian,adnominal,a</td><td>ház</td><td>mag-a</td><td>már</td><td>nagyon</td><td>régi,ART</td><td>house</td><td>INT-POSS.3SG.NOM</td><td>already</td><td>very</td><td>old,The house itself is very old.,questionnaire (source informant: Ildikó Reinhardt),-,--
177,Hungarian,adv exclusive,a</td><td>leveleimet</td><td>mindig</td><td>(saját)</td><td>maga-m</td><td>bontom</td><td>ki,ART</td><td>my.letters</td><td>always</td><td>(own)</td><td>INT-POSS.1SG.NOM</td><td>I.open</td><td>PRT,I always open my letters myself.,questionnaire (source of information: Ildikó Reinhardt),-,PRT: particle
182,Hungarian,reflexive,látja</td><td>magá-t</td><td>a</td><td>tükör-ben,he.sees</td><td>INT-POSS.3SG.ACC</td><td>ART</td><td>mirror-in,He sees himself in the mirror.,questionnaire (source of information: Ildikó Reinhardt),-,--
183,Abkhaz,reflexive,sarà</td><td>s-t&#642;&#601;&#768;-s-š-we-yt&#146;,I</td><td>POSS.1SG-REFL-I-kill-DYN-FIN,I kill myself.,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",77,FIN: finite; DYN: dynamic
184,Abkhaz,own,???</td><td>s-xa-t°&#146;</td><td>là</td><td>à-fa+t°&#146;</td><td>(ø-)à-s-te-yt&#146;,POSS.1SG-dog</td><td>POSS.1SG-OWN</td><td>dog</td><td>ART-food</td><td>(it-)to.it-I-give-FIN,I gave my own dog some food.,"Hewitt, B.G. in collaboration with Z.K. Khiba (1989). <i>Abkhaz</i>. London: Routledge.",79,"FIN: finite; <i>xa-</i>: <i>head</i>, <i>-t°'(È)</i>: belong; intensifier (<i>-xatà</i>) + possessive pronoun (<i>-t°'(E)</i>) yields specific type of emphatic possessive pronoun (p. 163)"
185,Basque,reflexive,aita-k</td><td>bere</td><td>buru-a</td><td>hil</td><td>du,father-ERG.SG</td><td>his</td><td>head-ABS.SG</td><td>kill</td><td>3SG.ERG.3SG.ABS.PRS.AUX2,Father has killed himself.,"Saltarelli, Mario (1988). <i>Basque</i>. London: Routledge.",104,--
186,Basque,own,n-eu-re</td><td>buru-aren</td><td>ahulezia-k</td><td>ikus-araz-i</td><td>zizkidaten,1SG-INT-GEN</td><td>REFL-GEN.SG</td><td>weakness-ABS.PL</td><td>see-CAUSE-PFCT</td><td>3PL.ERG.3PL.ABS.1SG.DAT.PST.AUX2,They made me see my (own) weaknesses.,"Saltarelli, Mario (1988). <i>Basque</i>. London: Routledge.",117,--
187,Arabic,adv exclusive,sawweet</td><td>haadha</td><td>b-ruu&#295;-ik,you.did</td><td>this</td><td>INSTR-REFL-POSS.2SG,You did this by yourself.,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",78,Gulf Arabic<br><i>ruu&#295;</i>: lit.: <i>spirit</i>
188,Bagvalal,adv exclusive,rasul-i-r</td><td>inšurda</td><td>b-eZa</td><td>Ran,Fatima-OBL-ERG</td><td>INT.MASC.SG.ERG</td><td>NEUT-bake</td><td>bread.ABS,Rasul baked bread herself.,questionnaire (source of information: Ekaterina Lyutikova),-,--
189,Amharic,adv exclusive,essu</td><td>bä-gäzza</td><td>&#601;gg-u</td><td>adärrägäw,he</td><td>INSTR-gäzza</td><td>&#601;gg-POSS.3SG</td><td>he.did.it.,He did it himself.,"Leslau, Wolf (1995). <i>Reference Grammar of Amharic</i>. Wiesbaden: Harrassowitz.",58,--
190,Basque,adv inclusive,"sentitzen</td><td>dut,</td><td>ni</td><td>n-eu</td><td>diruz</td><td>urri</td><td>nabil",be.sorry.IMPF</td><td>3SG.ERG.1SG.ABS.AUX2.PRS</td><td>I.ABS</td><td>1SG-INT.ABS</td><td>money.INSTR</td><td>short</td><td>COP.1SG.PRS,"I'm sorry, I'm short of money myself.",questionnaire (source of information: Iraide Ibarretxe),-,inclusive use likely to exist
191,Cantonese,adv exclusive,dáng</td><td>ngóh</td><td>jihgéi</td><td>gáau-dihm</td><td>la,let</td><td>me</td><td>INT</td><td>manage</td><td>PRT,Let me manage by myself.,"Matthews, Stephen & Yip, Virginia (1994). <i>Cantonese: A Comprehensive Grammar</i>. London: Routledge.",86,--
192,Albanian,adv exclusive,ai</td><td>e</td><td>pa</td><td>vet&#1105;,He</td><td>it</td><td>saw</td><td>INT,He saw it himself.,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie.",283,--
193,Albanian,adnominal,ajo</td><td>vet&#1105;</td><td>m&#1105;</td><td>tha,she</td><td>INT</td><td>to.me</td><td>said,She herself told me about it.,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie.",283,--
194,Albanian,adnominal,fajet</td><td>i</td><td>kishte</td><td>vet&#1105;</td><td>llogaritari,guilt</td><td>it</td><td>has</td><td>INT</td><td>accountant,The accountant himself was guilty.,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie.",283,<i>i</i>: clitic object marking on the verb
195,Albanian,reflexive,un&#1105;</td><td>e</td><td>lavd&#1105;rova</td><td>veten,I</td><td>it</td><td>praise</td><td>REFL,I praise myself.,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie.",282,<i>e</i>: clitic object marking on the verb; <i>e</i> and <i>veten</i> are third person despite reflexive semantics
196,Albanian,adv exclusive,plaga</td><td>u</td><td>mbyll</td><td>vet&#1105;,wound</td><td>MID</td><td>heal</td><td>INT,The wound healed by itself.,"Buchholz, Oda & Wilfried Fiedler (1987). <i>Albanische Grammatik</i>. Leipzig: VEB Enzyklopdie.",283,"<i>u</i>: verbal reflexive (medium), used as anti-causative marker; <i>vet&#1105;</i>: anti-causative use ('by itself')"
197,Danish,adnominal,kong-en</td><td>selv</td><td>var</td><td>til</td><td>stede,king-ART</td><td>INT</td><td>was</td><td>PREP</td><td>place,The King himself was present.,"Jones, W. Glyn & Kirsten Gade (1981). <i>Danish. A Grammar</i>. Copenhagen: Gyldendal.",79,--
198,Danish,adv exclusive,kong-en</td><td>var</td><td>selv</td><td>til</td><td>stede,king-ART</td><td>was</td><td>INT</td><td>present,The King was present himself.,"Jones, W. Glyn & Kirsten Gade (1981). <i>Danish. A Grammar</i>. Copenhagen: Gyldendal.",79,--
199,Bulgarian,adv exclusive,napravi</td><td>go</td><td>sam!,do.PFCT</td><td>it</td><td>INT.NOM,Do it yourself!,"Nikolova-Galabova, Z. & K. Galabov (1968). B&#259;lgarsko-nemski frazeologi&#269;en re&#269;nik. Sofia: Nauka i izkustvo.",-,--
200,Malayalam,own,avan</td><td>svantam</td><td>kaar&#601;</td><td>virru</td><td>enre</td><td>kaar&#601;</td><td>upayoogikkunnu,he</td><td>OWN</td><td>car</td><td>sold</td><td>I.GEN</td><td>car</td><td>uses,He sold his own car. He uses my car.,"Asher, R.E. & T.C. Kumari (1997). <i>Malayalam</i>. London: Routledge.",173,--
201,Kannada,adv inclusive,intha</td><td>janar-ige</td><td>avarige-nee</td><td>/</td><td>tamage-nee</td><td>naachike</td><td>aaga-beeku,such</td><td>people-DAT</td><td>they.DAT-EMPH/</td><td>TAAN.DAT.PL-EMPH</td><td>shame</td><td>should</td><td>happen,Such people should themselves feel ashamed.,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",81,probably adverbial inclusive use (<i>also</i>)
202,Kannada,adv exclusive,raama</td><td>makkaLanna</td><td>avan-ee/taan-ee</td><td>hoDedanu,Rama</td><td>children</td><td>he-EMPH/TAAN-EMPH</td><td>beat,Rama beat the children himself.,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",81,--
204,Kannada,reflexive,[naanu</td><td>tannann-ee</td><td>nooDide</td><td>anta]</td><td>raama</td><td>saadhisidanu,[I</td><td>REFL.ACC-EMPH</td><td>saw</td><td>COMP]</td><td>Rama</td><td>insisted,Rama insisted that I had seen him (=Rama).,"Amritavalli, R. (2000). Lexical anaphors and pronouns in Kannada. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",84,logophoric or long-distance bound use of <i>taan</i>
205,Maltese,own,sar</td><td>ghadu</td><td>tieghu</td><td>nnifsu,became</td><td>enemy</td><td>of.his</td><td>INT.PRON.3SG.MASC,He became his own enemy.,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge.",101,--
206,Maltese,adv exclusive,smajt</td><td>lil-u</td><td>stess</td><td>jghid</td><td>hekk,I.heard</td><td>OM-PRON.3SG</td><td>INT</td><td>says</td><td>so,I heard him say so himself.,"Borg, Albert & Maarie Azzopardi-Alexander (1997). <i>Maltese</i>. London: Routledge.",202,OM: object marker
207,Lithuanian,reflexive,pažìnk</td><td>pàts</td><td>savè!,recognize.IMP</td><td>INT.2SG</td><td>REFL.ACC,Recognise yourSELF!,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag.",190,reflexive <i>savè</i> is reinforced by <i>pàts</i>
208,Lithuanian,own,jìs</td><td>dìrbi</td><td>sàvo</td><td>dárba,he</td><td>is.doing</td><td>his</td><td>work.,He is doing his work.,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag.",193,<i>sàvo</i> used as possessive adjective
